field,required,params
depid,1,sw03_165a
dtype.source,0,"sw03_165aprh.mat,sw03_165aaud.txt"
dtype.datetime.made,0,18/07/2017 22:15:00
dtype.nfiles,0,1
dtype.format,0,MAT
device.serial,1,
device.make,1,DTAG
device.type,1,Archival
device.model,1,DTAG2
device.url,0,https://www.soundtags.org
sensors.firm,1,Not specified
sensors.soft,1,Not specified
sensors.list,0,"3axis Accelerometer,3 axis Magnetometer,Pressure,Sound"
animal.id,0,Unknown
animal.species.common,1,Sperm whale
animal.species.science,1,Physeter macrocephalus
animal.dbase.url,1,http://www.arkive.org/sperm-whale/physeter-macrocephalus/
animal.dbase.itis,,180488
dephist.device.tzone,1,0
dephist.device.regset,1,dd/mm/yyyy HH:MM:SS
dephist.device.datetime.start,1,2003-06-14 18:38:35
dephist.deploy.locality,1,northern Gulf of Mexico
dephist.deploy.location.lat,1,28.48
dephist.deploy.location.lon,1,-89.052
dephist.deploy.datetime.start,1,2003-06-14 18:38:35
dephist.deploy.method,1,Suction cups
project.name,1,GOM 2003
project.datetime.start,1,2003-06-03
project.datetime.end,1,2003-06-24
provider.name,1,Mark Johnson
provider.details,1,Univ St Andrews
provider.email,1,info@animaltags.org
provider.license,1,Contact data provider
provider.cite,1,Contact data provider
provider.doi,1,Contact data provider
